IID,year,provcd,age,gender,hukou_prov,is_at_hukou,income,education,birthplace_prov,hometown,marital_status,hukou_type,health_status
1101040000420002,2016,北京市,33,男,山东省,否,150000,中专,,山东省,2,农业户口,一般
1101040000420002,2017,北京市,34,男,山东省,否,125000,中专,,山东省,2,农业户口,一般
1101040000420002,2018,北京市,35,男,山东省,否,100000,中专,,山东省,2,农业户口,一般
1101040000420003,2010,北京市,18,男,山东省,否,20000,初中,,山东省,1,农业户口,健康
1101040000420003,2011,北京市,19,男,山东省,否,22500,初中,,山东省,1,农业户口,健康
1101040000420003,2012,北京市,20,男,山东省,否,25000,初中,,山东省,1,农业户口,健康
1101040000420003,2013,北京市,21,男,山东省,否,27500,初中,,山东省,1,农业户口,健康
1101040000420003,2014,北京市,22,男,山东省,否,30000,初中,,山东省,1,农业户口,健康
1101040000420003,2015,北京市,23,男,山东省,否,32500,初中,,山东省,1,农业户口,健康
1101040000420003,2016,北京市,24,男,山东省,否,35000,初中,,山东省,1,农业户口,健康
1101040000420003,2017,北京市,25,男,山东省,否,37500,初中,,山东省,1,农业户口,健康
1101040000420003,2018,北京市,26,男,山东省,否,40000,初中,,山东省,1,农业户口,非常健康
1101040000920001,2016,北京市,61,男,北京市,是,40000,大专,,北京市,2,居民户口（之前是非农户口）,非常健康
1101040000920001,2017,北京市,62,男,北京市,是,56000,大专,,北京市,2,居民户口（之前是非农户口）,健康
1101040000920001,2018,北京市,63,男,北京市,是,72000,大专,,北京市,2,非农户口,健康
1101040005020001,2016,北京市,36,女,北京市,是,40000,大学本科,,贵州省,2,居民户口（之前是非农户口）,非常健康
1101040005020001,2017,北京市,37,女,北京市,是,70000,大学本科,,贵州省,2,居民户口（之前是非农户口）,非常健康
1101040005020001,2018,北京市,38,女,北京市,是,100000,大学本科,,贵州省,2,居民户口（之前是非农户口）,非常健康
1101050001820001,2016,北京市,48,男,北京市,是,20000,大专,,北京市,2,非农户口,比较不健康
1101050001820001,2017,北京市,49,男,北京市,是,35000,大专,,北京市,2,居民户口（之前是非农户口）,比较不健康
1101050001820001,2018,北京市,50,男,北京市,是,50000,大专,,北京市,2,居民户口（之前是非农户口）,比较不健康
1101050005020001,2016,北京市,22,男,北京市,是,5000,大专,,北京市,1,居民户口（之前是非农户口）,健康
1101050005020001,2017,北京市,23,男,北京市,是,26500,大专,,北京市,1,居民户口（之前是非农户口）,一般
1101050005020001,2018,北京市,24,男,北京市,是,48000,大专,,北京市,1,居民户口（之前是非农户口）,一般
1102020000820001,2016,北京市,41,男,北京市,是,500000,博士,,福建省,2,居民户口（之前是农业户口）,非常健康
1102020000820001,2017,北京市,42,男,北京市,是,375000,博士,,福建省,2,居民户口（之前是农业户口）,健康
1102020000820001,2018,北京市,43,男,北京市,是,250000,博士,,福建省,2,居民户口（之前是农业户口）,健康
1102020000820002,2016,北京市,41,女,北京市,是,500000,硕士,,福建省,2,居民户口（之前是农业户口）,非常健康
1102020000820002,2017,北京市,42,女,北京市,是,385000,硕士,,福建省,2,居民户口（之前是农业户口）,健康
1102020000820002,2018,北京市,43,女,北京市,是,270000,硕士,,福建省,2,非农户口,健康
1102020001520001,2016,北京市,54,男,北京市,是,70000,大专,,北京市,2,非农户口,一般
1102020001520001,2017,北京市,55,男,北京市,是,85000,大专,,北京市,2,居民户口（之前是非农户口）,比较不健康
1102020001520001,2018,北京市,56,男,北京市,是,100000,大专,,北京市,2,居民户口（之前是非农户口）,比较不健康
1102020001820001,2016,北京市,58,男,北京市,是,6000,小学/私塾,,河北省,2,非农户口,比较不健康
1102020001820001,2017,北京市,59,男,北京市,是,5500,小学/私塾,,河北省,2,居民户口（之前是农业户口）,比较不健康
1102020001820001,2018,北京市,60,男,北京市,是,5000,小学/私塾,,河北省,2,居民户口（之前是农业户口）,比较不健康
1102020001820002,2016,北京市,57,女,北京市,是,30000,初中,,北京市,2,非农户口,一般
1102020001820002,2017,北京市,58,女,北京市,是,33777.96292304993,初中,,北京市,2,居民户口（之前是农业户口）,一般
