provcd,year,mu_jt
北京,2010,.067327119
北京,2011,.012645072
北京,2012,-.29482362
北京,2013,-.2038019
北京,2014,-.098557241
北京,2015,.16792822
北京,2016,.32714492
北京,2017,.51929235
北京,2018,.66195881
天津,2010,-.78544521
天津,2011,-.78544521
天津,2012,-.78544521
天津,2013,-.49911743
天津,2014,-.37022376
天津,2015,-.17746805
天津,2016,.0019461112
天津,2017,.20714457
天津,2018,.37103117
河北,2010,-1.5746164
河北,2011,-1.5746164
河北,2012,-.55951476
河北,2013,-.50066549
河北,2014,-.40481222
河北,2015,-.15964876
河北,2016,.0050573638
河北,2017,.20361124
河北,2018,.360107
山西,2010,-.87046379
山西,2011,-.87046379
山西,2012,-.87046379
山西,2013,-.26690403
山西,2014,-.19695686
山西,2015,-.0658824
山西,2016,-.045218315
山西,2017,.12765877
山西,2018,.20357171
内蒙古,2010,.69166404
内蒙古,2011,.64818347
内蒙古,2012,-.001856098
内蒙古,2013,-.20831461
内蒙古,2014,.32006374
内蒙古,2015,.38694742
内蒙古,2016,.46405661
内蒙古,2017,.49454263
内蒙古,2018,.60325491
辽宁,2010,-2.0309186
辽宁,2011,-2.0309186
辽宁,2012,-2.0309186
辽宁,2013,-1.8537716
辽宁,2014,-1.8843775
辽宁,2015,-1.6244987
辽宁,2016,-1.4442267
辽宁,2017,-1.2629105
辽宁,2018,-1.2143757
吉林,2010,-.47540325
吉林,2011,-.33692211
吉林,2012,-.75912857
吉林,2013,-.44348675
吉林,2014,-.23929363
吉林,2015,-.053613834
吉林,2016,.049264286
吉林,2017,.21187849
吉林,2018,.32014158
黑龙江,2010,-.54278338
黑龙江,2011,-.54278338
黑龙江,2012,-.54278338
黑龙江,2013,-.47410831
黑龙江,2014,-.61627609
黑龙江,2015,-.30576989
黑龙江,2016,.037114624
黑龙江,2017,.19696736
黑龙江,2018,.2751295
上海,2010,-.109717
上海,2011,-.109717
上海,2012,.008370488
上海,2013,.28660721
上海,2014,.38449654
上海,2015,.56594831
上海,2016,.73424953
上海,2017,.85701895
上海,2018,.97515869
江苏,2010,-.59511513
江苏,2011,-.19810332
江苏,2012,-.61611384
江苏,2013,-.38354692
江苏,2014,-.35576501
江苏,2015,-.18202215
江苏,2016,-.039066333
江苏,2017,.1976283
江苏,2018,.35031757
浙江,2010,-.3924447
浙江,2011,-.36786547
浙江,2012,-.69555533
浙江,2013,-.3320497
浙江,2014,-.13539384
浙江,2015,-.03949507
浙江,2016,-.0028408964
浙江,2017,.19463091
浙江,2018,.32500556
安徽,2010,-.51943642
安徽,2011,-.51943642
安徽,2012,-.51943642
安徽,2013,-.28458861
安徽,2014,-.1057923
安徽,2015,-.042048525
安徽,2016,.025498526
安徽,2017,.29627624
安徽,2018,.50021219
福建,2010,-.89883631
福建,2011,-1.5812829
福建,2012,-.88197649
福建,2013,-.7469641
福建,2014,-.71199018
福建,2015,-.55708528
福建,2016,-.42226565
福建,2017,-.22643723
福建,2018,-.1004005
江西,2010,-.72913706
江西,2011,-.65303749
江西,2012,-.82206351
江西,2013,-.51774037
江西,2014,-.19213031
江西,2015,-.11375681
江西,2016,-.015920332
江西,2017,.16765389
江西,2018,.25572467
山东,2010,-1.6609718
山东,2011,-1.2127658
山东,2012,-.55415857
山东,2013,-.42874694
山东,2014,-.44374883
山东,2015,-.24977961
山东,2016,-.15064064
山东,2017,.078816921
山东,2018,.22350135
河南,2010,-.97233063
河南,2011,-.97233063
河南,2012,-.97233063
河南,2013,-.88656127
河南,2014,-.7461248
河南,2015,-.68889028
河南,2016,-.62336409
河南,2017,-.47481266
河南,2018,-.31675655
湖北,2010,-.47838587
湖北,2011,-1.2549075
湖北,2012,-.77327114
湖北,2013,-.542041
湖北,2014,-.40711942
湖北,2015,-.21363598
湖北,2016,-.054060634
湖北,2017,.078730419
湖北,2018,.20066425
湖南,2010,-.33167008
湖南,2011,-.33167008
湖南,2012,-.5492546
湖南,2013,-.61343306
湖南,2014,-.24235073
湖南,2015,-.013252669
湖南,2016,.043835539
湖南,2017,.28405184
湖南,2018,.41642025
广东,2010,.38051051
广东,2011,.23285376
广东,2012,.051466554
广东,2013,.23536678
广东,2014,.43719119
广东,2015,.56295699
广东,2016,.69201094
广东,2017,.92085832
广东,2018,1.091662
广西,2010,-.68113726
广西,2011,-.98462218
广西,2012,-1.0352702
广西,2013,-.69794369
广西,2014,-.39092332
广西,2015,-.17521127
广西,2016,-.18857278
广西,2017,.0026363914
广西,2018,.078855515
重庆,2010,.50538874
重庆,2011,.42895538
重庆,2012,-.53586417
重庆,2013,-.55821455
重庆,2014,-.69262862
重庆,2015,-.69149816
重庆,2016,-.4182958
重庆,2017,-.16290385
重庆,2018,.025521897
四川,2010,-.1716329
四川,2011,-.1716329
四川,2012,-.1716329
四川,2013,.12391046
四川,2014,.34919652
四川,2015,.46052465
四川,2016,.42131776
四川,2017,.705751
四川,2018,.83610708
贵州,2010,-.82330424
贵州,2011,-.82330424
贵州,2012,-.28086302
贵州,2013,-.10150068
贵州,2014,.15974364
贵州,2015,.27966908
贵州,2016,.39774671
贵州,2017,.64887846
贵州,2018,.77710599
云南,2010,-.74505013
云南,2011,-.97205704
云南,2012,-.7934804
云南,2013,-.61396366
云南,2014,-.64522862
云南,2015,-.42068943
云南,2016,-.34893283
云南,2017,-.038525842
云南,2018,.1182766
陕西,2010,-2.4576488
陕西,2011,-1.531229
陕西,2012,-.6048094
陕西,2013,-.49449787
陕西,2014,-.42287263
陕西,2015,-.35576755
陕西,2016,-.39068624
陕西,2017,-.18055096
陕西,2018,-.0085619474
甘肃,2010,-.33381423
甘肃,2011,-.65107208
甘肃,2012,-.7502749
甘肃,2013,-.73056012
甘肃,2014,-.63427258
甘肃,2015,-.53735018
甘肃,2016,-.39563698
甘肃,2017,-.15179195
甘肃,2018,-.0031776249
青海,2010,-.20006493
青海,2011,-.20006493
青海,2012,-.20006493
青海,2013,-.20006493
青海,2014,-.20006493
青海,2015,-.096875243
青海,2016,-.10176288
青海,2017,.015015509
青海,2018,.16098242
宁夏,2010,-1.4663432
宁夏,2011,-1.4663432
宁夏,2012,-1.4663432
宁夏,2013,-.84964287
宁夏,2014,-.65802598
宁夏,2015,-.38269052
宁夏,2016,-.33168861
宁夏,2017,-.08008299
宁夏,2018,.042950939
新疆,2010,-.43376318
新疆,2011,-.64534521
新疆,2012,-.97262591
新疆,2013,-1.5855042
新疆,2014,-1.5021074
新疆,2015,-1.4187107
新疆,2016,-1.4187107
新疆,2017,-1.4187107
新疆,2018,-1.4187107
